File: 2000 grafi
CPU: 43.1% | Memory: 2289.72 MB
CPU: 52.3% | Memory: 2289.72 MB
CPU: 45.3% | Memory: 2289.83 MB
CPU: 82.8% | Memory: 2289.79 MB
CPU: 52.3% | Memory: 2289.79 MB
CPU: 79.7% | Memory: 2290.33 MB
CPU: 106.2% | Memory: 2291.43 MB
CPU: 104.7% | Memory: 2291.38 MB
CPU: 89.3% | Memory: 2291.92 MB
CPU: 95.3% | Memory: 2291.92 MB
CPU: 98.5% | Memory: 2291.92 MB
CPU: 64.1% | Memory: 2291.92 MB
CPU: 81.5% | Memory: 2292.49 MB
CPU: 53.1% | Memory: 2292.49 MB
CPU: 67.7% | Memory: 2292.49 MB
CPU: 66.2% | Memory: 2292.49 MB
CPU: 54.7% | Memory: 2293.00 MB
CPU: 56.9% | Memory: 2293.00 MB
CPU: 55.4% | Memory: 2293.00 MB
CPU: 43.1% | Memory: 2293.00 MB
CPU: 40.0% | Memory: 2293.00 MB
CPU: 47.7% | Memory: 2296.24 MB
CPU: 53.8% | Memory: 2296.24 MB
CPU: 51.6% | Memory: 2296.24 MB
CPU: 75.0% | Memory: 2296.24 MB
CPU: 46.2% | Memory: 2296.72 MB
CPU: 78.4% | Memory: 2296.86 MB
CPU: 39.1% | Memory: 2296.86 MB
CPU: 41.5% | Memory: 2296.86 MB
CPU: 43.1% | Memory: 2296.86 MB
CPU: 30.8% | Memory: 2297.31 MB
CPU: 52.3% | Memory: 2297.31 MB
CPU: 46.1% | Memory: 2297.31 MB
CPU: 66.1% | Memory: 2297.38 MB
CPU: 28.1% | Memory: 2297.38 MB
CPU: 41.6% | Memory: 2297.80 MB
CPU: 44.6% | Memory: 2297.80 MB
CPU: 53.8% | Memory: 2297.80 MB
CPU: 90.8% | Memory: 2297.81 MB
CPU: 93.8% | Memory: 2298.23 MB
CPU: 60.9% | Memory: 2298.23 MB
CPU: 64.7% | Memory: 2298.23 MB
CPU: 46.1% | Memory: 2298.23 MB
CPU: 47.7% | Memory: 2298.69 MB
CPU: 48.4% | Memory: 2298.69 MB
CPU: 104.7% | Memory: 2302.75 MB
CPU: 73.9% | Memory: 2303.73 MB
CPU: 76.6% | Memory: 2303.68 MB
CPU: 43.1% | Memory: 2304.14 MB
CPU: 53.1% | Memory: 2304.07 MB
CPU: 35.9% | Memory: 2304.09 MB
CPU: 40.6% | Memory: 2300.07 MB
CPU: 38.5% | Memory: 2300.07 MB
CPU: 38.4% | Memory: 2300.46 MB
CPU: 50.8% | Memory: 2300.46 MB
CPU: 35.9% | Memory: 2300.46 MB
CPU: 58.4% | Memory: 2300.46 MB
CPU: 63.1% | Memory: 2300.46 MB
CPU: 66.2% | Memory: 2300.89 MB
CPU: 46.9% | Memory: 2300.89 MB
CPU: 43.1% | Memory: 2300.95 MB
CPU: 78.4% | Memory: 2300.95 MB
CPU: 84.4% | Memory: 2301.34 MB
CPU: 40.0% | Memory: 2301.34 MB
CPU: 38.4% | Memory: 2301.34 MB
CPU: 93.9% | Memory: 2301.79 MB
CPU: 65.6% | Memory: 2301.77 MB
CPU: 35.4% | Memory: 2302.17 MB
CPU: 61.5% | Memory: 2302.15 MB
CPU: 23.1% | Memory: 2302.15 MB
CPU: 72.3% | Memory: 2302.26 MB
CPU: 26.6% | Memory: 2302.65 MB
CPU: 21.9% | Memory: 2302.65 MB
CPU: 57.8% | Memory: 2302.65 MB
CPU: 46.9% | Memory: 2302.65 MB
CPU: 41.5% | Memory: 2302.65 MB
CPU: 67.7% | Memory: 2303.05 MB
CPU: 51.6% | Memory: 2303.05 MB
CPU: 30.8% | Memory: 2303.05 MB
CPU: 67.2% | Memory: 2303.05 MB
CPU: 41.5% | Memory: 2303.05 MB
CPU: 32.8% | Memory: 2303.57 MB
CPU: 80.0% | Memory: 2303.63 MB
CPU: 50.0% | Memory: 2303.63 MB
