File: prefix_log_500.csv (12409 nodi)
Prova 1
CPU: 3.1% | Memory: 1224.87 MB
CPU: 0.0% | Memory: 1224.87 MB
CPU: 184.4% | Memory: 1226.32 MB
CPU: 167.2% | Memory: 1233.07 MB
CPU: 144.6% | Memory: 1226.38 MB
CPU: 206.1% | Memory: 1234.84 MB
CPU: 183.2% | Memory: 1234.86 MB
CPU: 139.1% | Memory: 1227.60 MB
CPU: 60.0% | Memory: 1227.60 MB
CPU: 103.1% | Memory: 1227.60 MB
CPU: 60.0% | Memory: 1227.62 MB
CPU: 80.0% | Memory: 1225.53 MB
CPU: 100.0% | Memory: 1225.54 MB
CPU: 79.7% | Memory: 1225.54 MB
CPU: 69.2% | Memory: 1225.54 MB
CPU: 44.6% | Memory: 1225.57 MB
CPU: 131.2% | Memory: 1225.58 MB
CPU: 75.4% | Memory: 1225.58 MB
CPU: 57.8% | Memory: 1225.58 MB
CPU: 135.3% | Memory: 1225.61 MB
CPU: 68.8% | Memory: 1226.38 MB
CPU: 64.6% | Memory: 1226.38 MB
CPU: 57.0% | Memory: 1226.38 MB
CPU: 65.6% | Memory: 1226.38 MB
CPU: 73.8% | Memory: 1226.38 MB
CPU: 60.0% | Memory: 1226.39 MB
CPU: 44.6% | Memory: 1226.39 MB
CPU: 79.7% | Memory: 1226.39 MB
CPU: 64.6% | Memory: 1226.39 MB
CPU: 71.9% | Memory: 1226.39 MB
CPU: 58.5% | Memory: 1226.40 MB
CPU: 70.7% | Memory: 1226.41 MB
CPU: 57.8% | Memory: 1226.42 MB
CPU: 69.7% | Memory: 1226.43 MB
CPU: 54.7% | Memory: 1226.43 MB
CPU: 62.1% | Memory: 1226.50 MB
CPU: 70.3% | Memory: 1226.50 MB
CPU: 78.1% | Memory: 1226.52 MB
CPU: 61.5% | Memory: 1226.54 MB
CPU: 78.1% | Memory: 1226.54 MB
CPU: 57.0% | Memory: 1226.55 MB
CPU: 80.0% | Memory: 1226.57 MB
CPU: 56.2% | Memory: 1226.64 MB
CPU: 70.3% | Memory: 1226.66 MB
CPU: 78.5% | Memory: 1226.66 MB
CPU: 56.2% | Memory: 1226.68 MB
CPU: 81.2% | Memory: 1226.68 MB
CPU: 75.4% | Memory: 1226.68 MB
CPU: 68.8% | Memory: 1226.69 MB
CPU: 92.2% | Memory: 1226.70 MB
CPU: 100.0% | Memory: 1226.70 MB
CPU: 84.4% | Memory: 1226.71 MB
CPU: 96.9% | Memory: 1226.73 MB
CPU: 70.3% | Memory: 1226.73 MB
CPU: 69.2% | Memory: 1226.74 MB
CPU: 67.2% | Memory: 1226.75 MB
CPU: 120.1% | Memory: 1226.29 MB
CPU: 172.2% | Memory: 1250.64 MB
CPU: 142.2% | Memory: 1250.73 MB
CPU: 80.0% | Memory: 1247.47 MB
CPU: 250.9% | Memory: 1257.24 MB
CPU: 179.9% | Memory: 1253.56 MB
