File: prefix_log_2000.csv (46452 nodi)
Prova 1
CPU: 107.7% | Memory: 1237.84 MB
CPU: 82.8% | Memory: 1237.84 MB
CPU: 81.5% | Memory: 1236.44 MB
CPU: 53.1% | Memory: 1236.44 MB
CPU: 73.4% | Memory: 1236.44 MB
CPU: 51.6% | Memory: 1236.44 MB
CPU: 65.6% | Memory: 1236.44 MB
CPU: 48.4% | Memory: 1236.45 MB
CPU: 60.9% | Memory: 1236.45 MB
CPU: 67.7% | Memory: 1236.45 MB
CPU: 67.2% | Memory: 1236.45 MB
CPU: 75.0% | Memory: 1236.45 MB
CPU: 53.9% | Memory: 1236.45 MB
CPU: 65.6% | Memory: 1236.46 MB
CPU: 46.9% | Memory: 1236.46 MB
CPU: 59.4% | Memory: 1236.46 MB
CPU: 75.4% | Memory: 1236.46 MB
CPU: 46.9% | Memory: 1236.46 MB
CPU: 63.1% | Memory: 1236.54 MB
CPU: 84.6% | Memory: 1236.50 MB
CPU: 58.4% | Memory: 1236.50 MB
CPU: 54.7% | Memory: 1236.50 MB
CPU: 58.5% | Memory: 1236.50 MB
CPU: 34.4% | Memory: 1236.51 MB
CPU: 72.3% | Memory: 1236.52 MB
CPU: 32.3% | Memory: 1236.52 MB
CPU: 51.6% | Memory: 1236.52 MB
CPU: 35.9% | Memory: 1236.52 MB
CPU: 70.3% | Memory: 1236.52 MB
CPU: 49.2% | Memory: 1236.52 MB
CPU: 42.2% | Memory: 1236.53 MB
CPU: 70.3% | Memory: 1236.53 MB
CPU: 40.0% | Memory: 1236.54 MB
CPU: 78.1% | Memory: 1236.54 MB
CPU: 66.1% | Memory: 1236.54 MB
CPU: 67.7% | Memory: 1236.54 MB
CPU: 58.4% | Memory: 1236.54 MB
CPU: 68.8% | Memory: 1236.54 MB
CPU: 87.5% | Memory: 1237.09 MB
CPU: 60.9% | Memory: 1237.11 MB
CPU: 59.4% | Memory: 1237.11 MB
CPU: 98.4% | Memory: 1237.12 MB
CPU: 67.2% | Memory: 1237.12 MB
CPU: 73.9% | Memory: 1237.12 MB
CPU: 56.2% | Memory: 1237.12 MB
CPU: 66.1% | Memory: 1237.12 MB
CPU: 56.9% | Memory: 1237.14 MB
CPU: 81.6% | Memory: 1237.15 MB
CPU: 51.6% | Memory: 1237.19 MB
CPU: 36.9% | Memory: 1237.21 MB
CPU: 49.3% | Memory: 1237.30 MB
CPU: 54.7% | Memory: 1237.30 MB
CPU: 53.8% | Memory: 1237.30 MB
CPU: 35.9% | Memory: 1237.30 MB
CPU: 45.3% | Memory: 1237.30 MB
CPU: 49.3% | Memory: 1237.33 MB
CPU: 41.5% | Memory: 1237.34 MB
CPU: 53.8% | Memory: 1237.34 MB
CPU: 92.4% | Memory: 1237.38 MB
CPU: 35.4% | Memory: 1237.38 MB
CPU: 30.8% | Memory: 1237.38 MB
