File: prefix_log_1000.csv (23902 nodi)
Prova 1
CPU: 1.5% | Memory: 1243.63 MB
CPU: 15.4% | Memory: 1243.63 MB
CPU: 121.9% | Memory: 1243.90 MB
CPU: 153.9% | Memory: 1252.75 MB
CPU: 164.1% | Memory: 1253.44 MB
CPU: 187.6% | Memory: 1248.57 MB
CPU: 159.4% | Memory: 1255.85 MB
CPU: 156.2% | Memory: 1258.37 MB
CPU: 146.1% | Memory: 1250.81 MB
CPU: 78.5% | Memory: 1247.76 MB
CPU: 73.4% | Memory: 1247.76 MB
CPU: 64.6% | Memory: 1247.76 MB
CPU: 132.3% | Memory: 1247.77 MB
CPU: 73.4% | Memory: 1247.77 MB
CPU: 61.5% | Memory: 1247.77 MB
CPU: 78.5% | Memory: 1247.77 MB
CPU: 73.4% | Memory: 1247.77 MB
CPU: 67.2% | Memory: 1247.78 MB
CPU: 55.4% | Memory: 1247.78 MB
CPU: 51.6% | Memory: 1247.78 MB
CPU: 49.3% | Memory: 1247.78 MB
CPU: 93.8% | Memory: 1247.78 MB
CPU: 63.1% | Memory: 1247.78 MB
CPU: 71.9% | Memory: 1247.78 MB
CPU: 67.7% | Memory: 1247.78 MB
CPU: 65.6% | Memory: 1247.78 MB
CPU: 48.4% | Memory: 1247.78 MB
CPU: 57.0% | Memory: 1247.78 MB
CPU: 81.5% | Memory: 1247.78 MB
CPU: 53.8% | Memory: 1247.78 MB
CPU: 47.7% | Memory: 1247.78 MB
CPU: 73.8% | Memory: 1247.78 MB
CPU: 73.4% | Memory: 1247.78 MB
CPU: 63.1% | Memory: 1247.78 MB
CPU: 60.9% | Memory: 1247.78 MB
CPU: 53.9% | Memory: 1247.85 MB
CPU: 87.7% | Memory: 1247.86 MB
CPU: 68.8% | Memory: 1247.86 MB
CPU: 87.7% | Memory: 1247.86 MB
CPU: 65.6% | Memory: 1247.86 MB
CPU: 90.7% | Memory: 1247.86 MB
CPU: 73.4% | Memory: 1247.87 MB
CPU: 75.4% | Memory: 1247.88 MB
CPU: 84.4% | Memory: 1247.88 MB
CPU: 78.1% | Memory: 1247.90 MB
CPU: 67.2% | Memory: 1247.96 MB
CPU: 80.0% | Memory: 1247.97 MB
CPU: 57.8% | Memory: 1247.97 MB
CPU: 70.7% | Memory: 1247.98 MB
CPU: 75.0% | Memory: 1247.98 MB
CPU: 53.1% | Memory: 1247.99 MB
CPU: 62.5% | Memory: 1248.00 MB
CPU: 61.5% | Memory: 1248.00 MB
CPU: 79.7% | Memory: 1248.00 MB
CPU: 71.9% | Memory: 1248.06 MB
CPU: 81.5% | Memory: 1249.14 MB
CPU: 176.9% | Memory: 1268.00 MB
CPU: 128.1% | Memory: 1271.25 MB
CPU: 149.3% | Memory: 1267.77 MB
CPU: 115.6% | Memory: 1269.82 MB
CPU: 155.3% | Memory: 1269.82 MB
CPU: 83.0% | Memory: 1259.02 MB
CPU: 66.2% | Memory: 1259.02 MB
CPU: 55.4% | Memory: 1259.03 MB
CPU: 60.0% | Memory: 1248.30 MB
CPU: 29.7% | Memory: 1248.30 MB
CPU: 73.4% | Memory: 1248.30 MB
CPU: 69.2% | Memory: 1248.30 MB
CPU: 70.3% | Memory: 1248.30 MB
CPU: 50.8% | Memory: 1248.31 MB
CPU: 56.2% | Memory: 1248.31 MB
CPU: 47.7% | Memory: 1248.31 MB
CPU: 81.2% | Memory: 1248.32 MB
CPU: 61.5% | Memory: 1248.33 MB
CPU: 66.1% | Memory: 1247.33 MB
CPU: 48.4% | Memory: 1247.34 MB
CPU: 39.1% | Memory: 1247.34 MB
CPU: 51.6% | Memory: 1247.35 MB
